Country,Year,Avg_Temperature,Rainfall_mm,Sea_Level,CO2
Afghanistan,1961,15.26,304.1,,0.0428507871836343
Afghanistan,1962,15.08,304.9,,0.0643650939112208
Afghanistan,1963,15.18,305.6,,0.0681006970779648
Afghanistan,1964,15.39,306.4,,0.0916870548890691
Afghanistan,1965,15.35,307.1,,0.1217355014066988
Afghanistan,1966,14.94,307.9,,0.1085754422779782
Afghanistan,1967,15.25,308.6,,0.121131041998573
Afghanistan,1968,15.1,309.4,,0.1222916925544586
Afghanistan,1969,15.13,310.1,,0.0916875466433747
Afghanistan,1970,15.22,310.9,,0.1343793864636096
Afghanistan,1971,15.2,311.6,,0.1598291663429524
Afghanistan,1972,15.42,312.4,,0.1405855214420711
Afghanistan,1973,15.33,313.1,,0.1455617701028191
Afghanistan,1974,15.25,313.9,,0.1668949262623584
Afghanistan,1975,15.32,314.6,,0.1766471396677081
Afghanistan,1976,15.32,315.4,,0.1336148782948968
Afghanistan,1977,15.51,316.1,,0.1904362115726916
Afghanistan,1978,15.28,316.9,,0.1635672131725892
Afghanistan,1979,15.37,317.6,,0.1814945798358871
Afghanistan,1980,15.21,318.4,,0.1224678407655315
Afghanistan,1981,14.98,319.1,,0.1578669636286519
Afghanistan,1982,15.48,319.9,,0.1909215096021757
Afghanistan,1983,15.53,320.6,,0.2233621957361557
Afghanistan,1984,15.3,321.4,,0.2438899780141417
Afghanistan,1985,15.77,322.1,,0.3011104768671869
Afghanistan,1986,15.23,322.9,,0.2872076114698745
Afghanistan,1987,15.48,323.6,,0.2748750803575561
Afghanistan,1988,15.46,324.4,,0.2658047897399591
Afghanistan,1989,15.73,325.1,,0.2392191363864682
Afghanistan,1990,15.74,325.9,,0.144722603975907
Afghanistan,1991,15.56,326.6,,0.1575733460633352
Afghanistan,1992,15.62,327.4,,0.1217463335080521
Afghanistan,1993,15.44,328.1,,0.1057287882491907
Afghanistan,1994,15.3,328.9,,0.0955780310564037
Afghanistan,1995,15.56,329.6,,0.0863321222115689
Afghanistan,1996,15.65,330.4,,0.0813416900625077
Afghanistan,1997,15.83,331.1,,0.0624528069666668
Afghanistan,1998,15.85,331.9,,0.057144477419164
Afghanistan,1999,15.63,332.6,,0.0523744533608425
Afghanistan,2000,15.66,333.4,,0.0438211195489344
Afghanistan,2001,15.56,334.1,,0.0666533477078742
Afghanistan,2002,15.53,334.9,,0.046476087771059
Afghanistan,2003,15.5,335.6,,0.0604256647320873
Afghanistan,2004,16.07,336.4,,0.053295086995327
Afghanistan,2005,15.72,337.1,,0.0838725437831484
Afghanistan,2006,15.75,337.9,,0.0863088540016126
Afghanistan,2007,15.64,338.6,,0.1133082557186731
Afghanistan,2008,15.96,339.4,,0.1771974791195927
Afghanistan,2009,15.62,340.1,,0.2257770335536235
Afghanistan,2010,15.85,340.9,,0.2821888753615046
Afghanistan,2011,15.77,341.6,,0.3906265088927436
Afghanistan,2012,15.98,342.4,,0.2983516192877987
Afghanistan,2013,15.86,343.1,,0.2875811853040996
Afghanistan,2014,15.78,343.9,,0.2809094049291079
Afghanistan,2015,15.97,344.6,,0.2827491106313928
Afghanistan,2016,16.06,345.4,,0.2639866228190921
Afghanistan,2017,16.02,346.1,,0.253149382521438
Afghanistan,2018,16.07,346.9,,0.2875731371509329
Afghanistan,2019,15.95,347.6,,0.2649256713861057
Afghanistan,2020,16.01,348.4,,0.2967857563786805
Afghanistan,2021,15.98,349.1,,0.2441874629560471
Afghanistan,2022,16.05,349.9,,0.2535003996738884
Albania,1961,14.88,1381.0,86.8,1.3382680913989944
Albania,1962,14.76,1384.5,88.2,1.41849199827977
Albania,1963,15.06,1387.9,89.6,1.1582286849062169
Albania,1964,14.99,1391.3,91.0,1.1044000527302371
Albania,1965,14.83,1394.7,92.4,1.1529004336997253
Albania,1966,15.16,1398.1,93.8,1.3127309699715228
Albania,1967,14.97,1401.5,95.2,1.33031127558913
Albania,1968,15.13,1404.9,96.6,1.4881780881963582
Albania,1969,15.25,1408.3,98.0,1.523459027782653
Albania,1970,15.18,1411.7,99.4,1.7261781160435583
Albania,1971,15.35,1415.1,100.8,1.9364142020625896
Albania,1972,15.01,1418.5,102.2,2.4740423613982854
Albania,1973,15.28,1421.9,103.6,2.2608166223858803
Albania,1974,15.13,1425.4,105.0,1.822844588232964
Albania,1975,15.12,1428.8,106.4,1.8619798893971469
Albania,1976,15.18,1432.2,107.8,1.9710074583791928
Albania,1977,15.24,1435.6,109.2,2.2286513362362954
Albania,1978,15.31,1439.0,110.6,2.449510575584304
Albania,1979,15.15,1442.4,112.0,2.849079747515868
Albania,1980,15.48,1445.8,113.4,1.8741967410918892
Albania,1981,15.43,1449.2,114.8,2.6284099898534548
Albania,1982,15.15,1452.6,116.2,2.5436502891345567
Albania,1983,15.62,1456.0,117.6,2.6207274061671018
Albania,1984,15.7,1459.4,119.0,2.637297694236916
Albania,1985,15.61,1462.8,120.4,2.593746119333121
Albania,1986,15.42,1466.3,121.8,2.609490915303159
Albania,1987,15.31,1469.7,123.2,2.384011398675996
Albania,1988,15.65,1473.1,124.6,2.267594668136004
Albania,1989,15.44,1476.5,126.0,2.784096106390441
Albania,1990,15.71,1479.9,127.4,1.678196209864992
Albania,1991,15.57,1483.3,128.8,1.2959040802549666
Albania,1992,15.71,1486.7,130.2,0.7617029776121559
Albania,1993,15.63,1490.1,131.6,0.7195931450082061
Albania,1994,15.7,1493.5,133.0,0.5969411226500828
Albania,1995,15.61,1496.9,134.4,0.6316417216859143
Albania,1996,15.9,1500.3,135.8,0.6225771775706798
Albania,1997,15.67,1503.7,137.2,0.4772656485016279
Albania,1998,15.73,1507.2,138.6,0.5586745659276567
Albania,1999,15.97,1510.6,140.0,0.9405853961733992
Albania,2000,15.5,1514.0,141.4,0.9488918893239984
Albania,2001,15.53,1517.4,142.8,1.029725884604234
Albania,2002,15.88,1520.8,144.2,1.2081376003138606
Albania,2003,15.58,1524.2,145.6,1.3845077976934157
Albania,2004,16.07,1527.6,147.0,1.344116273286902
Albania,2005,15.73,1531.0,148.4,1.3767564873363831
Albania,2006,15.7,1534.4,149.8,1.2603445646925664
Albania,2007,16.12,1537.8,151.2,1.3149757901499315
Albania,2008,16.07,1541.2,152.6,1.4917148194785794
Albania,2009,16.15,1544.6,154.0,1.4820982786050114
Albania,2010,16.02,1548.1,155.4,1.6474731326977308
Albania,2011,15.77,1551.5,156.8,1.7791279698889244
Albania,2012,16.21,1554.9,158.2,1.684641216979154
Albania,2013,15.9,1558.3,159.6,1.8264044704062956
Albania,2014,16.08,1561.7,161.0,2.0636624017661003
Albania,2015,16.12,1565.1,162.4,1.631346262759365
Albania,2016,15.97,1568.5,163.8,1.5917612676165531
